  e11                 e12             e13             e22               e23              e33
 1.515333e-01	 1.023907e-01	 2.225554e-02	 1.013377e-01	 1.680584e-02	 2.453851e-03
 1.586098e-01	 1.134504e-01	 2.442346e-02	 1.172273e-01	 1.960003e-02	 2.833650e-03
 1.650522e-01	 1.253251e-01	 2.672801e-02	 1.356502e-01	 2.285591e-02	 3.272720e-03
 1.704989e-01	 1.379045e-01	 2.913966e-02	 1.569744e-01	 2.663967e-02	 3.778298e-03
 1.744894e-01	 1.509833e-01	 3.160835e-02	 1.815906e-01	 3.101945e-02	 4.357104e-03
 1.764506e-01	 1.642195e-01	 3.405566e-02	 2.098905e-01	 3.605995e-02	 5.014340e-03
 1.756877e-01	 1.770798e-01	 3.636502e-02	 2.422271e-01	 4.181325e-02	 5.752140e-03
 1.713903e-01	 1.887709e-01	 3.837047e-02	 2.788452e-01	 4.830393e-02	 6.567290e-03
 1.626646e-01	 1.981587e-01	 3.984503e-02	 3.197690e-01	 5.550644e-02	 7.448065e-03
 1.486117e-01	 2.036851e-01	 4.049162e-02	 3.646266e-01	 6.331219e-02	 8.370150e-03
 1.284769e-01	 2.033077e-01	 3.994165e-02	 4.123932e-01	 7.148515e-02	 9.291879e-03
 1.018970e-01	 1.945079e-01	 3.777000e-02	 4.610412e-01	 7.960713e-02	 1.014960e-02
 6.925841e-02	 1.744479e-01	 3.353848e-02	 5.071154e-01	 8.702037e-02	 1.085476e-02
 3.213976e-02	 1.403856e-01	 2.688098e-02	 5.453161e-01	 9.278535e-02	 1.129525e-02
-6.277776e-03	 9.045994e-02	 1.763793e-02	 5.682835e-01	 9.568629e-02	 1.134405e-02
-4.107767e-02	 2.487436e-02	 6.029519e-03	 5.669220e-01	 9.432956e-02	 1.087755e-02
-6.611363e-02	-5.272982e-02	-7.177924e-03	 5.316873e-01	 8.737698e-02	 9.802488e-03
-7.546100e-02	-1.343022e-01	-2.059906e-02	 4.551014e-01	 7.391901e-02	 8.085788e-03
